County,Muni,ReportingUnit,PollingPlaceName,PollingPlaceAddress,Phone,VotimgRoomArea,TypeOfBuilding,Longitude,Latitude,ElectionName
WAUKESHA COUNTY,CITY OF BROOKFIELD,Ward 10,DIXON ELEMENTARY SCHOOL,"2400 PILGRIM SQUARE DR, BROOKFIELD, WI 53005-4420",7829650,,School,-88.104513,43.063138,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 159,HOUSING AUTHORITY OF THE CITY OF MILWAUKEE,"5003 W LISBON AVE, MILWAUKEE, WI 53210-2832",4142863491,,Government,-87.976477,43.063135,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 162,HOUSING AUTHORITY OF THE CITY OF MILWAUKEE,"5003 W LISBON AVE, MILWAUKEE, WI 53210-2832",4142863491,,Government,-87.976477,43.063135,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 16,MCKINLEY SCHOOL,"2435 N 89TH ST, WAUWATOSA, WI 53226-1803",4144798921,,School,-88.024284,43.062884,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 17,MCKINLEY SCHOOL,"2435 N 89TH ST, WAUWATOSA, WI 53226-1803",4144798921,,School,-88.024284,43.062884,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 68,TRINITY UNITED METHODIST CHURCH,"1123 VILAS AVE, MADISON, WI 53715-1547",6082574591,,,-89.405075,43.062801,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 106,BLACKHAWK CHURCH,"9620 BRADER WAY, MIDDLETON, WI 53562-9296",6088284200,,,-89.5541610718,43.0624542236,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 125,BLACKHAWK CHURCH,"9620 BRADER WAY, MIDDLETON, WI 53562-9296",6088284200,,,-89.5541610718,43.0624542236,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 133,MARYLAND AVENUE MONTESSORI SCHOOL,"2418 N MARYLAND AVE, MILWAUKEE, WI 53211-4438",4142863491,,School,-87.8823242188,43.0623397827,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 134,MARYLAND AVENUE MONTESSORI SCHOOL,"2418 N MARYLAND AVE, MILWAUKEE, WI 53211-4438",4142863491,,School,-87.8823242188,43.0623397827,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 180,MARYLAND AVENUE MONTESSORI SCHOOL,"2418 N MARYLAND AVE, MILWAUKEE, WI 53211-4438",4142863491,,School,-87.8823242188,43.0623397827,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 13,LAFOLLETTE HIGH SCHOOL,"700 PFLAUM RD, MADISON, WI 53716-2167",6082043686,,School,-89.3187195808,43.0621328205,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 14,LAFOLLETTE HIGH SCHOOL,"700 PFLAUM RD, MADISON, WI 53716-2167",6082043686,,School,-89.3187195808,43.0621328205,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 15,LAFOLLETTE HIGH SCHOOL,"700 PFLAUM RD, MADISON, WI 53716-2167",6082043686,,School,-89.3187195808,43.0621328205,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 83,COVENANT PRESBYTERIAN CHURCH,"326 S SEGOE RD, MADISON, WI 53705-4955",6082336297,,,-89.4580462575,43.0619873106,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 152,RALPH H. METCALFE  SCHOOL,"3400 W NORTH AVE, MILWAUKEE, WI 53208-1448",4142863491,,School,-87.956089,43.061902,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 166,MILWAUKEE FRENCH IMMERSION SCHOOL,"2360 N 52ND ST, MILWAUKEE, WI 53210-2701",4142863491,,School,-87.9781570435,43.0615730286,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 167,MILWAUKEE FRENCH IMMERSION SCHOOL,"2360 N 52ND ST, MILWAUKEE, WI 53210-2701",4142863491,,School,-87.9781570435,43.0615730286,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 135,EAST LIBRARY,"2320 N CRAMER ST, MILWAUKEE, WI 53211-4380",4142863491,,Government,-87.886575,43.06121,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 144,NORTHSIDE YMCA,"1350 W NORTH AVE, MILWAUKEE, WI 53205-1257",4142863491,,Private,-87.9292449951,43.0611228943,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 174,NORTHSIDE YMCA,"1350 W NORTH AVE, MILWAUKEE, WI 53205-1257",4142863491,,Private,-87.9292449951,43.0611228943,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 4,WAUWATOSA CITY HALL,"7701 W NORTH AVE, WAUWATOSA, WI 53213",4144798921,,Government,-88.008803,43.06057,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 5,WAUWATOSA CITY HALL,"7701 W NORTH AVE, WAUWATOSA, WI 53213",4144798921,,Government,-88.008803,43.06057,2016 General Election
WAUKESHA COUNTY,CITY OF BROOKFIELD,Ward 11,HILLSIDE ELEMENTARY SCHOOL,"2250 N LYNETTE LN, BROOKFIELD, WI 53045-4770",2627853940,,School,-88.176985,43.060497,2016 General Election
WAUKESHA COUNTY,CITY OF BROOKFIELD,Ward 12,HILLSIDE ELEMENTARY SCHOOL,"2250 N LYNETTE LN, BROOKFIELD, WI 53045-4770",2627853940,,School,-88.176985,43.060497,2016 General Election
WAUKESHA COUNTY,CITY OF BROOKFIELD,Ward 13,HILLSIDE ELEMENTARY SCHOOL,"2250 N LYNETTE LN, BROOKFIELD, WI 53045-4770",2627853940,,School,-88.176985,43.060497,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 13,WAUWATOSA LIBRARY,"7635 W NORTH AVE, WAUWATOSA, WI 53213-1718",4144798921,FIREFLY ROOM,Government,-88.008316,43.059878,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 89,OAKWOOD VILLAGE UNIVERSITY WOODS,"6201 MINERAL POINT RD, MADISON, WI 53705-4503",6082304699,,Private,-89.487434,43.059772,2016 General Election
CRAWFORD COUNTY,CITY OF PRAIRIE DU CHIEN,Ward 4,PRAIRIE DU CHIEN NATIONAL GUARD ARMORY,"601 N MARQUETTE RD, PR DU CHIEN, WI 53821-1101",6083266406,,Government,-91.140413,43.059391,2016 General Election
CRAWFORD COUNTY,CITY OF PRAIRIE DU CHIEN,Ward 5,PRAIRIE DU CHIEN NATIONAL GUARD ARMORY,"601 N MARQUETTE RD, PR DU CHIEN, WI 53821-1101",6083266406,,Government,-91.140413,43.059391,2016 General Election
DANE COUNTY,TOWN OF CROSS PLAINS,Ward 1-2,CROSS PLAINS TOWN HALL,"3734 COUNTY ROAD P, CROSS PLAINS, WI 53528-9180",6087983602,,Government,-89.6557619423,43.0591522157,2016 General Election
DANE COUNTY,TOWN OF CROSS PLAINS,Ward 3,CROSS PLAINS TOWN HALL,"3734 COUNTY ROAD P, CROSS PLAINS, WI 53528-9180",6087983602,,Government,-89.6557619423,43.0591522157,2016 General Election
WAUKESHA COUNTY,CITY OF BROOKFIELD,Ward 14,BROOKFIELD PUBLIC SAFETY BUILDING,"2100 N CALHOUN RD, BROOKFIELD, WI 53005-5054",2627829650,COURT ROOM,Government,-88.124302,43.058783,2016 General Election
WAUKESHA COUNTY,CITY OF BROOKFIELD,Ward 15,BROOKFIELD PUBLIC SAFETY BUILDING,"2100 N CALHOUN RD, BROOKFIELD, WI 53005-5054",2627829650,COURT ROOM,Government,-88.124302,43.058783,2016 General Election
WAUKESHA COUNTY,CITY OF BROOKFIELD,Ward 16,BROOKFIELD PUBLIC SAFETY BUILDING,"2100 N CALHOUN RD, BROOKFIELD, WI 53005-5054",2627829650,COURT ROOM,Government,-88.124302,43.058783,2016 General Election
WAUKESHA COUNTY,CITY OF BROOKFIELD,Ward 17,BROOKFIELD PUBLIC SAFETY BUILDING,"2100 N CALHOUN RD, BROOKFIELD, WI 53005-5054",2627829650,COURT ROOM,Government,-88.124302,43.058783,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 157,HI-MOUNT BOULEVARD SCHOOL,"4921 W GARFIELD AVE, MILWAUKEE, WI 53208-1109",4142863491,,School,-87.9753952026,43.0585670471,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 158,HI-MOUNT BOULEVARD SCHOOL,"4921 W GARFIELD AVE, MILWAUKEE, WI 53208-1109",4142863491,,School,-87.9753952026,43.0585670471,2016 General Election
DANE COUNTY,CITY OF MONONA,Ward 1-5,SAINT STEPHENS LUTHERAN CHURCH,"5700 PHEASANT HILL RD, MONONA, WI 53716-3118",2222525,,,-89.3299865723,43.0575790405,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 1,GLENDALE ELEMENTARY SCHOOL,"1201 TOMPKINS DR, MADISON, WI 53716-3272",608-516-41,,School,-89.3121032715,43.0575027466,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 2,GLENDALE ELEMENTARY SCHOOL,"1201 TOMPKINS DR, MADISON, WI 53716-3272",608-516-41,,School,-89.3121032715,43.0575027466,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 123,GLENDALE ELEMENTARY SCHOOL,"1201 TOMPKINS DR, MADISON, WI 53716-3272",608-516-41,,School,-89.3121032715,43.0575027466,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 155,WASHINGTON PARK LIBRARY,"2121 N SHERMAN BLVD, MILWAUKEE, WI 53208-1211",4142863491,,Government,-87.96824646,43.0574874878,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 156,WASHINGTON PARK LIBRARY,"2121 N SHERMAN BLVD, MILWAUKEE, WI 53208-1211",4142863491,,Government,-87.96824646,43.0574874878,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 80,MIDVALE ELEMENTARY,"502 CAROMAR DR, MADISON, WI 53711-1525",6082046715,,School,-89.4501037598,43.057346344,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 81,MIDVALE ELEMENTARY,"502 CAROMAR DR, MADISON, WI 53711-1525",6082046715,,School,-89.4501037598,43.057346344,2016 General Election
DANE COUNTY,VILLAGE OF DEERFIELD,Ward 1-3,DEERFIELD FIRE STATION,"305 N INDUSTRIAL PARK RD, DEERFIELD, WI 53531-9347",6087645404,,Government,-89.0699265897,43.0573444068,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 149,FRANCES STARMS DISCOVERY LEARNING CENTER,"2035 N 25TH ST, MILWAUKEE, WI 53205-1000",4142863491,,School,-87.9463348389,43.0570907593,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 173,FRANCES STARMS DISCOVERY LEARNING CENTER,"2035 N 25TH ST, MILWAUKEE, WI 53205-1000",4142863491,,School,-87.9463348389,43.0570907593,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 179,RIVERVIEW HOUSING,"1300 E KANE PL, MILWAUKEE, WI 53202-1686",4142863491,,Government,-87.8946685791,43.0565567017,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 177,CARVER ACADEMY OF MATH AND SCIENCE,"1900 N 1ST ST, MILWAUKEE, WI 53212-3705",4142863491,,Private,-87.910484314,43.0558052063,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 150,WESTSIDE ACADEMY I,"1945 N 31ST ST, MILWAUKEE, WI 53208-1902",4142863491,,School,-87.9532928467,43.0557746887,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 170,WESTSIDE ACADEMY I,"1945 N 31ST ST, MILWAUKEE, WI 53208-1902",4142863491,,School,-87.9532928467,43.0557746887,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 175,HOUSING AUTHORITY PUBLIC SAFETY BUILDING,"1901 N 6TH ST, MILWAUKEE, WI 53212-3644",4142863491,,Government,-87.918657437,43.0553273857,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 69,BJARNE ROMNES APARTMENTS,"540 W OLIN AVE, MADISON, WI 53715-2510",6082098375,,Government,-89.391112,43.055018,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 65,GLENWOOD MORAVIAN COMMUNITY CHURCH,"725 GILMORE ST, MADISON, WI 53711-1818",,,Religious,-89.43295,43.054482,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 79,SEQUOYA  LIBRARY,"4340 TOKAY BLVD, MADISON, WI 53711-1567",6082664601,,Government,-89.45112,43.053558,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 181,CHARLES ALLIS ART MUSEUM,"1801 N PROSPECT AVE, MILWAUKEE, WI 53202-1933",4142863491,,Private,-87.8901334852,43.0535229295,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 182,CHARLES ALLIS ART MUSEUM,"1801 N PROSPECT AVE, MILWAUKEE, WI 53202-1933",4142863491,,Private,-87.8901334852,43.0535229295,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 2,WAUWATOSA WOMAN'S CLUB,"1626 N WAUWATOSA AVE, WAUWATOSA, WI 53213-2625",4144798921,,Private,-88.007263,43.052972,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 3,WAUWATOSA WOMAN'S CLUB,"1626 N WAUWATOSA AVE, WAUWATOSA, WI 53213-2625",4144798921,,Private,-88.007263,43.052972,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 20,WAUWATOSA PUBLIC WORKS BUILDING,"11100 W WALNUT RD, WAUWATOSA, WI 53226-3042",(414) 479-8921,,Government,-88.049113,43.052735,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 1,WAUWATOSA FIRE STATION NO. 51,"1601 UNDERWOOD AVE, WAUWATOSA, WI 53213-2634",4144798921,,Government,-88.00866,43.052184,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 178,ARLINGTON COURT APARTMENTS,"1633 N ARLINGTON PL, MILWAUKEE, WI 53202-2277",4142863491,,Government,-87.896156311,43.0519752502,2016 General Election
CRAWFORD COUNTY,CITY OF PRAIRIE DU CHIEN,"Wards 2,7",PRAIRIE DU CHIEN CITY HALL,"214 E BLACKHAWK AVE, PR DU CHIEN, WI 53821-1531",6083266406,,Government,-91.1447808892,43.0517566949,2016 General Election
CRAWFORD COUNTY,CITY OF PRAIRIE DU CHIEN,Ward 3,PRAIRIE DU CHIEN CITY HALL,"214 E BLACKHAWK AVE, PR DU CHIEN, WI 53821-1531",6083266406,,Government,-91.1447808892,43.0517566949,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 168,NEESKARA SCHOOL,"1601 N HAWLEY RD, MILWAUKEE, WI 53208-2116",4142863491,,School,-87.9833755493,43.0514907837,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 204,NEESKARA SCHOOL,"1601 N HAWLEY RD, MILWAUKEE, WI 53208-2116",4142863491,,School,-87.9833755493,43.0514907837,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 183,CASS STREET SCHOOL,"1647 N CASS ST, MILWAUKEE, WI 53202-2026",4142863491,,School,-87.902512,43.051401,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 171,CHERRY COURT APARTMENTS,"1525 N 24TH ST, MILWAUKEE, WI 53205-1800",4142863491,,Government,-87.9434432983,43.0505218506,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 172,CHERRY COURT APARTMENTS,"1525 N 24TH ST, MILWAUKEE, WI 53205-1800",4142863491,,Government,-87.9434432983,43.0505218506,2016 General Election
WAUKESHA COUNTY,VILLAGE OF ELM GROVE,Ward 1-4,Community Room 1,"13600 JUNEAU BLVD, ELM GROVE, WI 53122-1654",(262) 782-6700,Community Room,Government,-88.0835800171,43.0499267578,2016 General Election
WAUKESHA COUNTY,VILLAGE OF ELM GROVE,Ward 5-8,Community Room 2,"13600 JUNEAU BLVD, ELM GROVE, WI 53122-1654",(262) 782-6700,O'Neill Room,Government,-88.0835800171,43.0499267578,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 176,HILLSIDE FAMILY RESOURCE CENTER,"1452 N 7TH ST, MILWAUKEE, WI 53205-2301",4142863491,,Government,-87.9201178998,43.0491925031,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 105,COVENTRY VILLAGE,"7707 N BROOKLINE DR, MADISON, WI 53719-3510",6088290603,,Private,-89.5187454224,43.0490493774,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 107,COVENTRY VILLAGE,"7707 N BROOKLINE DR, MADISON, WI 53719-3510",6088290603,,Private,-89.5187454224,43.0490493774,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 127,COVENTRY VILLAGE,"7707 N BROOKLINE DR, MADISON, WI 53719-3510",6088290603,,Private,-89.5187454224,43.0490493774,2016 General Election
WAUKESHA COUNTY,CITY OF PEWAUKEE,Wards 5-7,NEW VISION BRETHREN IN CHRIST CHURCH,"N14W27995 SILVERNAIL RD, PEWAUKEE, WI 53072-5322",2626910770,,,-88.302594,43.048956,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 169,WASHINGTON PARK SENIOR CENTER,"4420 W VLIET ST, MILWAUKEE, WI 53208-2769",4142863491,,Government,-87.9694692045,43.0488833785,2016 General Election
GRANT COUNTY,TOWN OF WOODMAN,Ward 1,WOODMAN TOWN HALL,"15047 COUNTY ROAD K, WOODMAN, WI 53827-9710",(608) 533-2913,,Government,-90.8003745228,43.0485199392,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 90,MADISON ICE ARENA,"725 FORWARD DR, MADISON, WI 53711-2442",6082047606,,Private,-89.486946106,43.0484313965,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 104,MADISON ICE ARENA,"725 FORWARD DR, MADISON, WI 53711-2442",6082047606,,Private,-89.486946106,43.0484313965,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 117,MADISON ICE ARENA,"725 FORWARD DR, MADISON, WI 53711-2442",6082047606,,Private,-89.486946106,43.0484313965,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 70,BRIDGE LAKE POINT WAUNONA NEIGHBORHOOD CENTER,"1917 LAKE POINT DR, MADISON, WI 53713-1681",6084416991,,Private,-89.347067,43.048085,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 113,BRIDGE LAKE POINT WAUNONA NEIGHBORHOOD CENTER,"1917 LAKE POINT DR, MADISON, WI 53713-1681",6084416991,,Private,-89.347067,43.048085,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 184,CONVENT HILL HOUSING,"455 E OGDEN AVE, MILWAUKEE, WI 53202-2581",4142863491,,Government,-87.90661,43.047992,2016 General Election
GRANT COUNTY,TOWN OF CASTLE ROCK,Ward 1,Castle Rock Town Hall,"15070 COUNTY ROAD G, MUSCODA, WI 53573",,,Government,-90.498352,43.047825,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 193,JAMES E GROPPI HIGH SCHOOL,"1312 N 27TH ST, MILWAUKEE, WI 53208-2408",4142863491,,School,-87.9469680786,43.0477333069,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 200,JAMES E GROPPI HIGH SCHOOL,"1312 N 27TH ST, MILWAUKEE, WI 53208-2408",4142863491,,School,-87.9469680786,43.0477333069,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 202,MILWAUKEE PUBLIC SCHOOLS ADMINISTRATION BUILDING,"5225 W VLIET ST, MILWAUKEE, WI 53208-2627",4142863491,Room 103,School,-87.9798126221,43.0468902588,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 203,MILWAUKEE PUBLIC SCHOOLS ADMINISTRATION BUILDING,"5225 W VLIET ST, MILWAUKEE, WI 53208-2627",4142863491,Room 103,School,-87.9798126221,43.0468902588,2016 General Election
WAUKESHA COUNTY,TOWN OF DELAFIELD,"Wards 1-2,5-6",DELAFIELD TOWN HALL,"W302N1254 MAPLE AVE, DELAFIELD, WI 53018-7000",2626462398,,Government,-88.3494570851,43.0466658622,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 189,HIGHLAND GARDENS,"1818 W JUNEAU AVE, MILWAUKEE, WI 53233-1184",4142863491,,Government,-87.9359512329,43.0463562012,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 78,THOREAU ELEMENTARY SCHOOL,"3870 NAKOMA RD, MADISON, WI 53711-3016",6082046952,,School,-89.442489624,43.0460166931,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 72,Catholic Multicultural Center,"1862 BELD ST, MADISON, WI 53713-1310",,,Religious,-89.393517,43.045927,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 10,HART PARK RECREATION BUILDING,"7300 CHESTNUT ST, WAUWATOSA, WI 53213-2739",4144798921,,Government,-88.002719,43.045887,2016 General Election
IOWA COUNTY,VILLAGE OF HIGHLAND,Ward 1,HIGHLAND VILLAGE HALL,"530 MAIN ST, HIGHLAND, WI 53543-9779",(608) 929-7781,,Government,-90.379766,43.04564,2016 General Election
WAUKESHA COUNTY,CITY OF WAUKESHA,Ward 12,MEADOWBROOK SCHOOL,"3130 ROLLING RIDGE DR, WAUKESHA, WI 53188-1356",(262) 524-3550,,School,-88.283653,43.045163,2016 General Election
WAUKESHA COUNTY,CITY OF WAUKESHA,Ward 13,MEADOWBROOK SCHOOL,"3130 ROLLING RIDGE DR, WAUKESHA, WI 53188-1356",(262) 524-3550,,School,-88.283653,43.045163,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 199,COLLEGE COURT APARTMENTS,"3334 W HIGHLAND BLVD, MILWAUKEE, WI 53208-3294",4142863491,,Government,-87.9564743042,43.0449981689,2016 General Election
CRAWFORD COUNTY,CITY OF PRAIRIE DU CHIEN,Ward 1,BLUFF HAVEN,"720 S FREMONT ST, PR DU CHIEN, WI 53821-2386",6083268471,,Other,-91.133966893,43.0446273834,2016 General Election
CRAWFORD COUNTY,CITY OF PRAIRIE DU CHIEN,Ward 6,BLUFF HAVEN,"720 S FREMONT ST, PR DU CHIEN, WI 53821-2386",6083268471,,Other,-91.133966893,43.0446273834,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 6,WILSON SCHOOL,"1060 GLENVIEW AVE, WAUWATOSA, WI 53213-3034",4144798921,,School,-88.013937,43.043567,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 7,WILSON SCHOOL,"1060 GLENVIEW AVE, WAUWATOSA, WI 53213-3034",4144798921,,School,-88.013937,43.043567,2016 General Election
DANE COUNTY,TOWN OF MADISON,Ward 2-9,TOWN HALL,"2120 FISH HATCHERY RD, MADISON, WI 53713-1253",210-7260,,Government,-89.40528,43.042755,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 192,WISCONSIN CONSERVATORY OF LIFELONG LEARNING,"1017 N 12TH ST, MILWAUKEE, WI 53233-1307",(414) 286-3491,,School,-87.927501,43.042744,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 11,JEFFERSON SCHOOL,"6927 MAPLE TER, WAUWATOSA, WI 53213-3125",4144798921,,School,-87.998964,43.04199,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 12,JEFFERSON SCHOOL,"6927 MAPLE TER, WAUWATOSA, WI 53213-3125",4144798921,,School,-87.998964,43.04199,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 185,FRANK P. ZEIDLER MUNICIPAL BUILDING,"841 N BROADWAY, MILWAUKEE, WI 53202-3640",4142863491,,Government,-87.9088821411,43.0417671204,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 186,FRANK P. ZEIDLER MUNICIPAL BUILDING,"841 N BROADWAY, MILWAUKEE, WI 53202-3640",4142863491,,Government,-87.9088821411,43.0417671204,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 8,UNDERWOOD SCHOOL,"11132 W POTTER RD, WAUWATOSA, WI 53226-3427",4144798921,,School,-88.05208,43.041375,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 9,UNDERWOOD SCHOOL,"11132 W POTTER RD, WAUWATOSA, WI 53226-3427",4144798921,,School,-88.05208,43.041375,2016 General Election
MILWAUKEE COUNTY,CITY OF WAUWATOSA,Ward 21,UNDERWOOD SCHOOL,"11132 W POTTER RD, WAUWATOSA, WI 53226-3427",4144798921,,School,-88.05208,43.041375,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 201,STORY SCHOOL,"3815 W KILBOURN AVE, MILWAUKEE, WI 53208-3113",4142863491,,School,-87.961730957,43.0413322449,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 73,VILLAGE ON PARK,"2300 S PARK ST, MADISON, WI 53713-1997",,,Private,-89.393608,43.040677,2016 General Election
DANE COUNTY,TOWN OF DEERFIELD,Ward 1-2,LIBERTY EDUCATIONAL CENTER,"3494 OAK PARK RD, DEERFIELD, WI 53531-9760",764-8054,,School,-89.1069766134,43.0403680354,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 206,WISCONSIN HUMANE SOCIETY,"4500 W WISCONSIN AVE, MILWAUKEE, WI 53208-3156",4142863491,,Private,-87.969737,43.040261,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 214,WISCONSIN HUMANE SOCIETY,"4500 W WISCONSIN AVE, MILWAUKEE, WI 53208-3156",4142863491,,Private,-87.969737,43.040261,2016 General Election
DANE COUNTY,CITY OF MADISON,Ward 91,FALK ELEMENTARY,"6323 WOODINGTON WAY, MADISON, WI 53711-3162",6082042180,,School,-89.489730835,43.0402107239,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 198,OUR SAVIOR LUTHERAN CHURCH,"3022 W WISCONSIN AVE, MILWAUKEE, WI 53208-3950",4142863491,,,-87.950623,43.040079,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 205,HAWLEY SCHOOL,"5610 W WISCONSIN AVE, MILWAUKEE, WI 53213-4258",4142863491,,School,-87.981598,43.039808,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 194,MILWAUKEE ACADEMY OF CHINESE LANGUAGE,"2430 W WISCONSIN AVE, MILWAUKEE, WI 53233-1828",,,School,-87.94479,43.039619,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 195,MILWAUKEE ACADEMY OF CHINESE LANGUAGE,"2430 W WISCONSIN AVE, MILWAUKEE, WI 53233-1828",,,School,-87.94479,43.039619,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 187,CENTRAL LIBRARY - CENTENNIAL HALL,"733 N 8TH ST, MILWAUKEE, WI 53233-2414",4142863491,CENTENNIAL HALL,Government,-87.9216883332,43.0393145978,2016 General Election
MILWAUKEE COUNTY,CITY OF MILWAUKEE,Ward 188,CENTRAL LIBRARY - CENTENNIAL HALL,"733 N 8TH ST, MILWAUKEE, WI 53233-2414",4142863491,CENTENNIAL HALL,Government,-87.9216883332,43.0393145978,2016 General Election
